"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 23:37:09 IST 2024","Sun Apr 14 23:37:09 IST 2024","362","test","test_HomePage","TestHomePage","","","test_formSubmission[getdata0]",""
"passed","Sun Apr 14 23:37:12 IST 2024","Sun Apr 14 23:37:19 IST 2024","6634","test","test_e2e","TestOne","","","test_e2e",""
"passed","Sun Apr 14 23:37:08 IST 2024","Sun Apr 14 23:37:09 IST 2024","363","test","test_HomePage","TestHomePage","","","test_formSubmission[getdata1]",""
